58463 2016   01   261213000E305300N   46   56  105    031-------1111-1-111-1111111111-------V1.00---------------------------------------------------------------------------------------------------------------------------------------------------------------
2143 265  13 267  11 264  14------------00000000--------00000000 -55----------------  78  32 -8710343---- -40----  -1   7  18  26-------------------------------------------------------------------------------000000NNN00NN000NNNN0000N0N0011NNNNNNNNNNNNNNNNN
2144 263  11 266  11 262  12------------00000000--------00000000 -56----------------  78  31 -8810343---- -40----  -1   7  18  26-------------------------------------------------------------------------------000000NNN00NN000NNNN0000N0N0011NNNNNNNNNNNNNNNNN
2145 261   9 264  11 261   9------------00000000--------00000000 -56----------------  78  31 -8810343---- -40----  -1   7  18  26-------------------------------------------------------------------------------000000NNN00NN000NNNN0000N0N0011NNNNNNNNNNNNNNNNN
2146 263   8 263  11 264  10------------00000000--------00000000 -56----------------  78  31 -8810344---- -40----  -1   7  18  26-------------------------------------------------------------------------------000000NNN00NN000NNNN0000N0N0011NNNNNNNNNNNNNNNNN
2147 266   9 263  11 267  12------------00000000--------00000000 -57----------------  78  31 -8910344---- -40----  -1   7  18  26-------------------------------------------------------------------------------000000NNN00NN000NNNN0000N0N0011NNNNNNNNNNNNNNNNN
2148 268  10 264  11 269  12------------00000000--------00000000 -57----------------  78  31 -8910344---- -40----  -1   7  18  26-------------------------------------------------------------------------------000000NNN00NN000NNNN0000N0N0011NNNNNNNNNNNNNNNNN
2149 269  11 265  11 270  13------------00000000--------00000000 -57----------------  79  32 -8810344---- -40----  -1   7  18  26-------------------------------------------------------------------------------000000NNN00NN000NNNN0000N0N0011NNNNNNNNNNNNNNNNN
2150 268  12 266  11 267  13------------00000000--------00000000 -57----------------  79  32 -8810344---- -40----  -1   7  18  26-------------------------------------------------------------------------------000000NNN00NN000NNNN0000N0N0011NNNNNNNNNNNNNNNNN
2151 268  13 266  11 270  13------------00000000--------00000000 -57----------------  80  32 -8610344---- -40----  -1   7  18  26-------------------------------------------------------------------------------000000NNN00NN000NNNN0000N0N0011NNNNNNNNNNNNNNNNN
2152 270  13 266  11 270  15------------00000000--------00000000 -58----------------  80  32 -8710344---- -40----  -1   7  18  26-------------------------------------------------------------------------------000000NNN00NN000NNNN0000N0N0011NNNNNNNNNNNNNNNNN
2153 270  13 267  11 270  14------------00000000--------00000000 -58----------------  80  32 -8710344---- -40----  -1   7  18  26-------------------------------------------------------------------------------000000NNN00NN000NNNN0000N0N0011NNNNNNNNNNNNNNNNN
2154 272  13 268  11 274  14------------00000000--------00000000 -58----------------  80  32 -8710344---- -40----  -1   7  18  26-------------------------------------------------------------------------------000000NNN00NN000NNNN0000N0N0011NNNNNNNNNNNNNNNNN
2155 276  13 270  12 277  15------------00000000--------00000000 -58----------------  81  32 -8510344---- -40----  -1   7  18  26-------------------------------------------------------------------------------000000NNN00NN000NNNN0000N0N0011NNNNNNNNNNNNNNNNN
2156 279  14 271  12 280  15------------00000000--------00000000 -59----------------  81  32 -8610344---- -40----  -1   7  18  26-------------------------------------------------------------------------------000000NNN00NN000NNNN0000N0N0011NNNNNNNNNNNNNNNNN
2157 278  12 272  12 277  13------------00000000--------00000000 -59----------------  81  32 -8610344---- -40----  -1   7  18  26-------------------------------------------------------------------------------000000NNN00NN000NNNN0000N0N0011NNNNNNNNNNNNNNNNN
2158 278  11 273  13 279  12------------00000000--------00000000 -59----------------  81  32 -8610344---- -40----  -1   7  18  26-------------------------------------------------------------------------------000000NNN00NN000NNNN0000N0N0011NNNNNNNNNNNNNNNNN
2159 281  11 275  13 283  13------------00000000--------00000000 -59----------------  82  32 -8510344---- -40----  -1   7  18  26-------------------------------------------------------------------------------000000NNN00NN000NNNN0000N0N0011NNNNNNNNNNNNNNNNN
2200 282  11 276  12 280  12------------00000000--------00000000 -59----------------  82  32 -8510344---- -40----  -1   7  18  26-------------------------------------------------------------------------------000000NNN00NN000NNNN0000N0N0011NNNNNNNNNNNNNNNNN
2201 279  12 277  12 277  13------------00000000--------00000000 -59----------------  82  32 -8510344---- -41----  -1   7  18  26-------------------------------------------------------------------------------000000NNN00NN000NNNN0000N0N0011NNNNNNNNNNNNNNNNN
2202 277  12 277  12 277  14------------00000000--------00000000 -58----------------  82  33 -8410344---- -41----  -1   7  18  26-------------------------------------------------------------------------------000000NNN00NN000NNNN0000N0N0011NNNNNNNNNNNNNNNNN
2203 281  13 279  12 284  13------------00000000--------00000000 -58----------------  82  33 -8410344---- -41----  -1   7  18  26-------------------------------------------------------------------------------000000NNN00NN000NNNN0000N0N0011NNNNNNNNNNNNNNNNN
2204 283  12 280  12 283  14------------00000000--------00000000 -58----------------  81  32 -8510344---- -41----  -1   7  18  26-------------------------------------------------------------------------------000000NNN00NN000NNNN0000N0N0011NNNNNNNNNNNNNNNNN
2205 284  13 281  12 286  14------------00000000--------00000000 -58----------------  81  32 -8510344---- -41----  -1   7  18  26-------------------------------------------------------------------------------000000NNN00NN000NNNN0000N0N0011NNNNNNNNNNNNNNNNN
2206 289  13 282  12 292  13------------00000000--------00000000 -58----------------  80  32 -8710344---- -41----  -1   7  18  26-------------------------------------------------------------------------------000000NNN00NN000NNNN0000N0N0011NNNNNNNNNNNNNNNNN
2207 294  12 284  12 297  13------------00000000--------00000000 -58----------------  80  32 -8710344---- -41----  -1   7  18  26-------------------------------------------------------------------------------000000NNN00NN000NNNN0000N0N0011NNNNNNNNNNNNNNNNN
2208 299  11 286  12 302  12------------00000000--------00000000 -58----------------  80  32 -8710344---- -41----  -1   7  18  26-------------------------------------------------------------------------------000000NNN00NN000NNNN0000N0N0011NNNNNNNNNNNNNNNNN
2209 304  10 288  12 306  11------------00000000--------00000000 -58----------------  80  32 -8710344---- -41----  -1   7  18  26-------------------------------------------------------------------------------000000NNN00NN000NNNN0000N0N0011NNNNNNNNNNNNNNNNN
